T	icp	kappaL
100.0	-1.1628360414596042	0.24123100134142822
200.0	-1.1628360414596042	0.14294715350564122
300.0	-1.1628360414596042	0.09884986974517196
400.0	-1.187041395113947	0.07515657296920478
500.0	-1.1918771324110735	0.06052376593228511
600.0	-1.1959275488011323	0.05062460752946268
700.0	-1.1992255700740588	0.04349332887334165
800.0	-1.2020917464822878	0.03811581537894265
900.0	-1.204545126003468	0.03391788849315678
1000.0	-1.2065497895940334	0.030550724256947055
1100.0	-1.2082164876383135	0.027790411725858555
1200.0	-1.209402632417908	0.025486733570681517
1300.0	-1.210378160987499	0.023535199411564255
